ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
42,"2023-04-25 12:22:52,631",0xdfc01c57ba271463ce34ee0ff5177a58,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
43,"2023-04-25 12:22:52,998",0x85fb22b883182db250303c317989aadc,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
44,"2023-04-25 12:22:53,388",0x3cd3a4a4e4c4d065c9625817c972c132,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
45,"2023-04-25 12:22:53,625",0xabb445c86b0f7dd6372d369a1d2e5d0d,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
46,"2023-04-25 12:22:54,147",0x6a0b5c1ddb2c6b0f0a7ec489fb5521af,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
47,"2023-04-25 12:22:54,455",0xc02ddba664c6543f866a9301744b4132,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
48,"2023-04-25 12:22:54,957",0xe9f6a3b8cc08c882887169b37bcf4ecb,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
49,"2023-04-25 12:22:55,327",0xaf7aa94a31fd3267e687cde17132208,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
50,"2023-04-25 12:22:55,508",0x46dd204eafe9f716d4f721f23fe1754c,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
51,"2023-04-25 12:22:56,031",0xed6e76679d7529351c4ead78a590d6a2,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
52,"2023-04-25 12:22:56,525",0x4e9ada2b521883f65d0654b1db4ef369,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
53,"2023-04-25 12:22:56,658",0xf44c681985bb66c991510987224a93b5,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
54,"2023-04-25 12:22:57,056",0xb0dfe311e62e7ada0a7e84c98e99f31c,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
55,"2023-04-25 12:22:57,449",0xa7c8389c111d114b5372855762432281,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
56,"2023-04-25 12:22:57,927",0x5352227a6181eb5b575a0f751e128bbb,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
57,"2023-04-25 12:22:58,136",0x9a846e7a669a3ad0104c17a5dc0dd455,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
58,"2023-04-25 12:22:58,276",0x76016c89c89dc0ca351066fc00b7e190,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
