ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
92,"2023-04-23 17:05:09,233",0xcb769e253e50e25b39cda2e70402c874,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
93,"2023-04-23 17:05:09,265",0xcb769e253e50e25b39cda2e70402c874,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
94,"2023-04-23 17:05:09,573",0x215f0007a34b6fb0206506dcf1f26e59,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
95,"2023-04-23 17:05:09,608",0x215f0007a34b6fb0206506dcf1f26e59,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
96,"2023-04-23 17:05:09,770",0xf73373a54142cc302e89e5df2ed42fb6,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
97,"2023-04-23 17:05:09,801",0xf73373a54142cc302e89e5df2ed42fb6,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
98,"2023-04-23 17:05:09,964",0x674aec4eded055892dd45b9ebd609ee1,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
99,"2023-04-23 17:05:09,996",0x674aec4eded055892dd45b9ebd609ee1,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
100,"2023-04-23 17:05:10,384",0x86f09f0872e1c7e9cb2fbf0c6d1053ae,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
101,"2023-04-23 17:05:10,414",0x86f09f0872e1c7e9cb2fbf0c6d1053ae,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
102,"2023-04-23 17:05:10,631",0x5a05b003761548f176e43d4975afd113,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
103,"2023-04-23 17:05:10,656",0x5a05b003761548f176e43d4975afd113,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
104,"2023-04-23 17:05:10,979",0x50a7a889a0ce469664be0fab384ba35f,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
105,"2023-04-23 17:05:11,004",0x50a7a889a0ce469664be0fab384ba35f,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
106,"2023-04-23 17:05:11,467",0x1973acf134820b93654d741e5c9d1490,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
107,"2023-04-23 17:05:11,496",0x1973acf134820b93654d741e5c9d1490,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
108,"2023-04-23 17:05:11,954",0x1730399e2fcf7454b10eb0c4aff61fc4,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
109,"2023-04-23 17:05:11,982",0x1730399e2fcf7454b10eb0c4aff61fc4,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
110,"2023-04-23 17:05:12,296",0x2b9f71e40d8f4031977f0742483ad23f,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
111,"2023-04-23 17:05:12,325",0x2b9f71e40d8f4031977f0742483ad23f,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
112,"2023-04-23 17:05:12,522",0x6f78e979de8cb84980d98fdba358f3bb,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
113,"2023-04-23 17:05:12,552",0x6f78e979de8cb84980d98fdba358f3bb,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
114,"2023-04-23 17:05:12,671",0xfdbee7d860b11e4ffe278fc179261f17,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
